Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation,Total Sales
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal,1,75979
1212192089,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal,0,52256
1190380701,vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print,0,223
966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,1,39691
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0,44077
1068332458,bohemian,Low,0,M,Summer,v-neck,sleevless,empire,null,null,null,print,0,457
1220707172,Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid,0,7328
1219677488,Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null,0,3248
1113094204,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1,494
985292672,bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null,1,300
1117293701,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0,1911
898481530,Flare,Average,0,free,Spring,v-neck,short,null,nylon,null,null,animal,0,2842
957723897,Sexy,Low,4.7,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print,1,49983
749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal,1,75346
1055411544,Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid,0,1095
1162628131,Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null,0,2319
624314841,cute,Average,4.7,L,spring,o-neck,short,null,cotton,null,sashes,solid,1,47998
830467746,bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork,1,401
840857118,Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork,0,299
1113221101,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null,1,9998
861754372,Sexy,Average,4.5,L,Automn,o-neck,full,null,cotton,null,beading,solid,0,6175
856178100,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid,0,31467
1122989777,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid,0,5216
840516484,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,1,42347
768517084,Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,null,lace,patchwork,0,107
1139843344,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print,0,518
1004212992,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid,1,48440
1235426503,Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,null,print,0,4696
942808364,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,0,11518
629131530,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1,155927
851945460,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,0,26496
1150275464,Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,1,5738
1026634314,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,0,18184
978773911,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,null,null,bow,solid,1,23200
827791337,party,High,4.7,M,Spring,o-neck,threequarter,null,null,null,null,print,0,41875
640823350,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork,1,29528
801861988,vintage,Average,4.6,free,Winter,o-neck,full,natural,null,chiffon,null,print,1,32342
1060207186,Brief,Average,0,M,Automn,o-neck,short,natural,cotton,null,null,print,0,1820
1054679816,party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,null,lace,solid,1,12987
941190190,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,null,button,solid,1,11693
943844640,Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1,2999
661795386,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,0,49173
875312593,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,0,11817
971387676,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,null,null,print,0,15506
1021185637,vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork,1,4451
1163826114,Sexy,Average,0,M,Winter,o-neck,short,natural,null,null,lace,solid,0,2133
735635595,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,null,lace,geometric,0,91556
1175184188,Casual,Average,0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,1,635
679415939,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,null,null,solid,0,20730
884147971,Casual,Medium,0,L,Winter,boat-neck,full,empire,null,null,null,solid,1,96
841203385,Sexy,Low,5,free,Summer,v-neck,sleevless,empire,null,chiffon,null,animal,1,3943
1117997056,Casual,Low,4.3,free,Summer,o-neck,sleevless,null,milksilk,null,null,animal,0,3947
1160536550,Casual,Average,0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,1,1341
828623528,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1,27364
763708514,Sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,null,lace,geometric,0,17079
1153442065,Novelty,Average,0,S,Winter,turndowncollor,full,natural,cotton,null,null,patchwork,0,5905
743729613,Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,null,null,solid,1,10944
1000493051,Sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,null,null,lace,solid,1,9852
911085061,bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,null,null,print,1,6751
1174854264,work,Average,0,M,Automn,slash-neck,sleevless,natural,polyster,null,bow,patchwork,0,778
1053296757,cute,High,0,M,Spring,v-neck,full,natural,rayon,null,null,solid,1,105
1033843327,Casual,Average,0,free,Spring,o-neck,short,natural,cotton,null,hollowout,plaid,0,257
1083779666,Casual,Average,5,M,Summer,o-neck,short,empire,polyster,chiffon,null,animal,0,1565
746255172,Casual,Average,4.7,M,spring,o-neck,sleevless,natural,null,chiffon,sashes,solid,0,37083
1100974555,Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,null,null,solid,1,5614
1019134411,Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,0,12001
1072477320,Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,0,6722
638423913,Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,null,null,patchwork,1,601
936425780,work,Average,4.8,L,Summer,v-neck,short,natural,polyster,null,hollowout,solid,0,7775
1146088956,Casual,Medium,0,M,Automn,v-neck,short,empire,polyster,null,null,solid,0,182
864253055,bohemian,Average,5,free,Summer,v-neck,sleevless,natural,cotton,batik,null,print,1,1646
1210582154,Sexy,Low,0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,1,11403
926480831,Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,null,solid,0,6835
757260823,Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,0,957
630561922,Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,null,null,solid,0,15909
734061929,Casual,Low,4.7,L,Spring,o-neck,short,null,chiffonfabric,chiffon,bow,dot,0,38251
842060995,Casual,Average,5,XL,Winter,boat-neck,full,null,cotton,null,null,geometric,1,594
1078431253,Casual,Low,0,free,Spring,v-neck,sleevless,null,cotton,null,null,print,0,162
939770391,Casual,Average,0,free,Spring,o-neck,sleevless,natural,null,chiffon,null,solid,0,134
943188872,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,null,polyster,null,null,null,1,1871
1130994272,Casual,Low,5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,0,2455
907117649,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,0,24713
967999477,Sexy,Low,5,free,Spring,o-neck,full,natural,cotton,worsted,null,striped,0,7218
944656411,vintage,Low,4.6,M,Summer,o-neck,short,natural,null,chiffon,null,print,0,7720
1096779299,Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,0,582
1036333255,Casual,low,4.9,L,Summer,boat-neck,short,null,null,chiffon,null,patchwork,1,4018
1065316076,Casual,Low,0,S,Automn,o-neck,full,natural,null,null,beading,solid,1,4464
995802744,Sexy,Average,4,S,Automn,v-neck,sleevless,null,rayon,chiffon,null,patchwork,1,6707
1018110870,Sexy,Low,5,M,Automn,o-neck,full,natural,null,chiffon,lace,print,1,8229
850586379,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,null,cotton,null,null,solid,0,7522
1169895668,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,applique,patchwork,1,480
688966772,Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,null,pockets,solid,1,17272
1194626925,OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,null,sashes,solid,0,429
876708804,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,null,null,solid,0,2996
1118628066,Casual,Medium,0,S,Spring,v-neck,full,null,null,null,null,animal,1,3744
1027818824,Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,1,48
891103323,Casual,Average,0,M,Spring,o-neck,sleevless,natural,silk,null,null,print,0,812
1166855026,Casual,Average,0,free,Winter,v-neck,full,natural,null,chiffon,ruffles,print,0,69
1023850025,vintage,Low,4.8,S,Summer,o-neck,short,natural,null,chiffon,ruffles,print,0,8696
805438829,Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,1,13749
836788720,fashion,Average,4,free,Summer,open,full,null,cotton,null,sequined,solid,0,426
835787654,Casual,Average,4.7,L,Summer,v-neck,short,natural,null,null,null,print,1,7831
1148457078,Casual,Low,0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,null,patchwork,1,4030
887476609,bohemian,Low,4.8,free,Summer,o-neck,short,null,null,null,null,animal,1,11237
535968075,work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,null,Tiered,solid,0,22147
892801580,vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,null,button,solid,0,6071
732650169,cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,1,34651
680070369,Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,null,null,solid,1,9422
1002440915,Casual,Medium,0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1,1843
737538048,Casual,Average,4.7,L,Automn,o-neck,halfsleeve,null,null,null,lace,null,0,57543
1104450248,Sexy,Average,0,L,Automn,v-neck,sleevless,empire,null,chiffon,null,patchwork,0,3358
797673346,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,null,solid,1,17017
1039982741,Casual,Average,0,M,Automn,o-neck,short,empire,polyster,null,applique,print,0,604
829087315,cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,null,chiffon,hollowout,solid,0,7206
1032990258,party,Average,5,M,Spring,o-neck,halfsleeve,natural,null,null,null,null,1,2725
939422280,cute,Average,4.3,L,Winter,o-neck,sleevless,natural,null,chiffon,null,solid,0,9070
974746803,Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,null,patchwork,0,3809
1018130478,Casual,Low,4.7,L,Automn,o-neck,full,null,cotton,chiffon,lace,print,0,6620
956758119,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,0,7868
903426442,Sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,1,16006
861626197,work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,0,20839
1077015977,vintage,Average,0,free,Summer,o-neck,sleevless,null,null,null,null,null,0,150
817870237,Sexy,Low,4.6,free,Spring,o-neck,full,natural,null,null,lace,leopard,1,4536
1078996836,Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,null,solid,1,1748
881530990,work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,null,patchwork,0,11515
937046375,Casual,Average,4.4,M,Summer,o-neck,short,empire,null,null,lace,patchwork,0,3439
870994067,cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0,3464
893330898,Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,0,7852
822053936,party,Average,4.4,free,Automn,v-neck,threequarter,natural,null,null,null,solid,0,3668
1059959935,Casual,Average,0,free,Spring,o-neck,short,null,cotton,null,lace,null,1,76
1197204708,Casual,Low,0,M,Summer,v-neck,full,natural,acrylic,null,lace,solid,0,4385
713439584,Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,null,null,patchwork,1,9740
732736124,work,Average,4.6,M,Spring,v-neck,full,null,null,chiffon,null,null,0,3615
709353440,cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,null,lace,solid,0,5811
1031230798,bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,null,chiffon,null,solid,0,2846
1225512606,cute,High,0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,0,270
1158347154,Casual,Average,0,XL,Winter,o-neck,short,empire,polyster,null,button,solid,0,1460
976975672,Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,null,print,1,2226
520233308,Casual,Low,4.7,M,Automn,o-neck,full,null,cotton,null,null,solid,0,11041
935827969,cute,Average,4.3,free,Summer,boat-neck,sleevless,null,null,null,null,null,1,1952
1130624045,Sexy,Low,0,free,Automn,slash-neck,short,empire,null,null,hollowout,solid,0,1467
547555172,cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,0,21772
1083323104,Sexy,low,4.5,L,Spring,o-neck,sleevless,null,null,null,lace,solid,0,8830
955188745,Casual,Average,4.7,M,Automn,o-neck,sleevless,null,cotton,null,null,animal,1,5761
1140306858,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,lace,solid,1,2539
895807023,cute,low,4.7,free,Summer,o-neck,sleevless,null,null,chiffon,null,print,1,7351
818505402,Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid,0,1059
897981100,Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,null,ruffles,solid,0,2086
973481686,vintage,Average,4.3,free,winter,o-neck,short,null,chiffonfabric,chiffon,null,print,0,9305
1021375534,cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,1,7555
549437715,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,null,solid,0,32300
1097548715,vintage,Medium,0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,null,plaid,0,515
578702321,Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid,1,994
1155548915,vintage,High,0,L,Summer,o-neck,short,natural,cotton,null,null,print,0,151
1199064757,Casual,low,0,free,Spring,v-neck,threequarter,null,silk,null,lace,null,1,44
1078994436,Sexy,Average,0,S,Automn,slash-neck,short,natural,null,null,lace,solid,0,195
949226757,Casual,Low,0,free,Spring,o-neck,short,natural,null,null,hollowout,solid,0,3665
832191944,cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,null,lace,solid,1,109
869572905,Casual,Low,4.7,free,Summer,o-neck,sleevless,null,null,null,null,print,0,4765
896048351,Sexy,Low,4.8,free,Spring,v-neck,sleevless,null,null,null,sequined,solid,1,3572
854444464,Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,null,bow,patchwork,0,8291
1246749980,vintage,Average,0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,0,6915
849613634,Casual,Average,3.7,free,Automn,boat-neck,full,null,null,null,null,solid,1,424
1019768234,vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork,0,8822
785830491,cute,Average,0,XL,Spring,boat-neck,full,null,cotton,worsted,applique,dot,1,434
832391864,Casual,Average,0,L,Winter,open,short,natural,mix,poplin,applique,solid,1,1012
1069595866,Sexy,Medium,5,M,Winter,o-neck,sleevless,empire,polyster,null,bow,solid,0,80
733715437,Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,null,null,null,solid,0,6559
828949946,Casual,High,4.9,S,Spring,o-neck,threequarter,natural,null,null,null,dot,1,6160
765264430,Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,null,sashes,solid,0,11259
722020708,Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,0,13804
980295760,Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,0,5632
913978120,Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,0,16361
1062354779,Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,null,chiffon,button,striped,0,3857
1051749304,work,Average,0,S,Automn,o-neck,sleevless,natural,linen,null,null,patchwork,0,497
1206128856,Casual,Low,0,L,Winter,o-neck,sleevless,empire,polyster,null,null,leopard,0,6295
956453735,cute,low,5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,0,1906
767971724,Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,1,1888
722565148,Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,null,null,leopard,0,14748
1167448608,cute,low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,0,1208
549159213,Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,null,null,solid,1,4697
940918554,Sexy,low,4.7,M,Winter,slash-neck,sleevless,null,nylon,null,sashes,solid,1,1870
522776523,Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,null,floral,0,9414
658650071,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,0,12607
560474456,Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,1,6109
1150052066,bohemian,Average,0,L,Winter,turndowncollor,full,natural,mix,null,null,solid,0,4476
929797706,Casual,Low,0,free,,o-neck,full,natural,cotton,null,null,patchwork,0,204
886351969,cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,1,7793
1071947910,Sexy,Average,0,S,Automn,v-neck,sleevless,empire,cotton,null,beading,solid,0,114
813753347,Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,null,null,solid,1,31663
733134203,vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,null,lace,solid,1,3636
851256794,work,low,4.7,free,Summer,o-neck,full,empire,cotton,null,null,solid,0,991
751049573,cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,null,rivet,solid,0,1974
882490248,cute,Average,0,M,Summer,o-neck,short,natural,cotton,chiffon,null,print,0,6282
541172235,Casual,Average,4.7,M,winter,o-neck,full,null,null,null,null,animal,0,12217
727676110,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,null,applique,solid,1,2566
891631697,party,Average,5,free,Summer,v-neck,sleevless,null,null,null,null,null,0,2125
1059306768,Casual,Average,0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,null,patchwork,0,56
764321904,Sexy,Average,5,L,winter,o-neck,threequarter,natural,polyster,null,lace,geometric,0,806
902108125,Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,null,embroidary,solid,0,3302
874397327,Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,null,null,dot,0,4837
861698160,Casual,Average,4.1,M,Automn,v-neck,full,null,null,chiffon,sashes,null,1,2183
981437831,Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,null,null,0,1452
1036456647,Sexy,Average,5,M,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,1,704
951280194,work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,null,null,solid,0,8656
1079373429,Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,null,null,null,null,null,0,1005
747381880,vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,null,worsted,null,solid,0,19026
1099363892,Casual,Average,0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,null,solid,1,4352
941333009,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,null,print,0,3320
819651586,bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,null,sashes,print,0,4225
1043590098,Casual,low,5,free,Spring,slash-neck,sleevless,empire,spandex,null,null,striped,1,2423
1091666465,Casual,Average,5,M,Winter,o-neck,sleevless,natural,null,chiffon,sashes,solid,1,447
863336720,Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,null,striped,0,3006
771972560,work,low,4.5,M,Winter,v-neck,threequarter,null,null,null,null,patchwork,0,7435
756492184,Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,null,lace,patchwork,1,1195
1097157656,Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,null,dobby,lace,animal,0,2761
573923366,Sexy,Low,4.3,M,Automn,open,short,natural,lace,null,lace,print,0,6296
756620535,Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,1,9670
765350508,Casual,low,4.6,L,Winter,o-neck,full,null,cotton,null,null,null,0,8718
968294356,Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,null,chiffon,sashes,solid,1,12854
1017678811,Casual,low,0,free,Automn,peterpan-collor,threequarter,empire,null,null,null,null,0,68
933231033,Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,null,chiffon,null,null,1,3790
1199765487,Casual,Average,0,S,Summer,o-neck,sleevless,empire,cotton,null,null,solid,0,23
965817793,Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,null,null,print,1,6445
1074432879,Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,null,plaid,0,937
1132858821,Sexy,very-high,0,free,Winter,v-neck,sleevless,natural,polyster,knitting,null,solid,0,57
905732124,Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,null,sashes,print,0,2489
711045472,Casual,Average,4.8,M,Automn,v-neck,short,null,null,chiffon,embroidary,print,1,3560
923983419,Casual,Average,5,free,Summer,v-neck,sleevless,null,modal,null,null,patchwork,0,721
733025646,Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,null,null,print,1,13461
720099861,Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,null,striped,0,14733
923915314,Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,null,null,0,6679
1077555214,Casual,low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,null,null,print,0,2514
1216538883,cute,Average,0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,0,9493
531254082,Casual,low,4.8,free,Spring,o-neck,sleevless,null,chiffonfabric,chiffon,null,print,1,6087
890279029,Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,null,applique,dot,0,3678
995964089,bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,null,chiffon,ruffles,solid,1,610
868453353,Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,null,sashes,print,1,826
1024954013,Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,0,5021
685606338,Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,null,null,solid,1,3830
877962269,Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,0,1548
995644296,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,null,patchwork,0,6245
1066273951,Casual,Average,3.5,M,winter,v-neck,short,natural,null,null,null,solid,0,1551
822176645,Casual,Average,4.8,M,winter,o-neck,threequarter,natural,null,null,null,print,1,4834
659466129,Casual,Average,0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,1,58
694493217,Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,null,sashes,striped,0,5602
793162246,Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,null,broadcloth,null,print,1,24217
817945281,Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,null,button,solid,0,1981
920902282,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,null,null,character,0,3738
